Rua,Código,Descrição,Imagem do produto
7-U,011000162,CAP CER SMD (0603) 0.1 UF 50V X7R CL10B104KB8NNWC,
7-U,011000036,CAP ELET 470UF 16V,
7-U,010600002,TRANSISTOR BC338                                                                                                                                                                                        ,
7-U,013500004,RESISTOR 10K 1/8W 1%,
7-U,011000000,CAP CER 100NF 50V,
7-U,013500217,RESISTOR 56R 3W 5%,
7-U,011000166,CAP ELET 4700UF 63V,
7-U,011000089,CAP ELET 470UF 35V LOW ESR (UHE1V471MHD6),
0,0, ,
7-V,011400137,CONECTOR CIRCULAR PLUG P/ CABO RJ45 RCP-00BMMS-TLM7001 AMPHENOL,
7-V,013700000,PORTA LED 5MM SSH-LX5091,
7-V,013600005,PORTA FUSIVEL PARA FUSIVEL LAMINA                                                                                                                                                                       ,
7-V,019900326,BUCHA ISOLANTE DE NYLON P/ TO220 - BAIXA,
7-V,010500004,GRAMPO E/UK P/N: 1201442                                                                                                                                                                                ,
0,0, ,
0,0, ,
7-W,011400104,CONECTOR MODULAR MINIATURA 04 VIAS MFAM-04,
7-W,011400157,CONECTOR XT30PW-M P/ PCB 90º MACHO,
7-W,011400152,CONECTOR 4 VIAS BENDAL 100-304,
7-W,011400154,CONECTOR XT60E-M P/ MONTAGEM EM PAINEL,
7-W,011400166,CONECTOR PFS - PARAFUSO FENDIDO COM SAPATA P/ ATERRAMENTO,
7-W,011400172,CONECTOR XT60 FEMEA,
7-W,011400156,CONECTOR XT30PW-F P/ PCB 90º FEMEA,
7-W,011400155,CONECTOR XT30  PAR (XT30 / XT30U MACHO+FEMEA),
7-W,011400159,CONECTOR SIM CARD KP13B-SF-PEJ(800),
7-W,011400013,"CONECTOR DFK-MSTB 2,5/2-G-5,08 - DEGSON 2CDGB-5.08-02P-14-00A(H)",
7-W,011400135,CONECTOR BMC2S - CZ 50A + TERMINAIS BMC5AG (35A),imagens_produtos\011400135_produto011400135.jpeg
7-W,011400034,"CONECTOR MSTBVA 2,5/2-G-5,08",
0,0, ,
7-X,011400021,"CONECTOR MSTB 2,5/2-ST-5,08 - DEGSON 2EDGK-5.08-02P-14-00A(H) - METALTEX BR8F1-02",
7-X,011400022,"CONECTOR MSTB 2,5/6-ST-5,08 - DEGSON 2EDGK-5.08-06P-14-00A(H) - METALTEX BR8F1-06",
7-X,011400013,"CONECTOR DFK-MSTB 2,5/2-G-5,08 - DEGSON 2CDGB-5.08-02P-14-00A(H)",
0,0, ,
8-A,011200087,CI SMD LPC2368FBD100,
0,0, ,
8-B,014200000,SUPORTE PARA FERRO DE SOLDA,
8-B,109900216,PARAFUSO DE TRACAO M3 P/ REBITADEIRA,
8-B,109900217,PARAFUSO DE TRACAO M4 P/ REBITADEIRA,
8-B,109900303,PARAFUSO DE TRACAO M6 P/ REBITADEIRA,
8-B,109900304,BOCAL M3 P/ REBITADEIRA HR-36,
8-B,109900305,BOCAL M4 P/ REBITADEIRA HR-36,
8-B,101100052,"BIT 1/4"" HEXAGON P/ PARAFUSO DE SEGURANCA MCGARD 199 900",
8-B,109900306,BUCHA M4 P/ REBITADEIRA HN901N,
8-B,109900307,BUCHA M5 P/ REBITADEIRA HN901N,
8-B,013200004,MALHA PARA DESSOLDAGEM,
8-B,119900133,ESPONJA VEGETAL P/LIMPEZA DE FERRO DE SOLDA,
8-B,019900234,RED DOT,
0,0, ,
8-C,011400126,CONECTOR P/ SEALTUBO CMRA-34 SPTF,
8-C,101200007,DISCO DE CORTE DREMEL,
8-C,110500004,CADEADO INVIOLAVEL,
8-C,110800026,FITA ADESIVA SILVER TAPE 50MTS,
8-C,139900281,FITA ADESIVA DE ALUMINIO 48MMX50MM,
0,0, ,
8-D,011200139,CI SMD TPS650532RGER REGULADOR LDO,
8-D,011400183,CONECTOR MODULAR MODELO J0006D21BNL JACK 8 COM ETHERNET MAGNETIC,
8-D,012900031, ,
8-D,013200006,SOLDA 1.5 MM 500GR 40X60 BEST AZUL,
0,0, ,
8-E,040900003,GABINETE CASE MINI ITX                                                                                                                                                                                  ,
0,0, ,
8-F,019900237,FERRITE 25 MHZ A 100 MHZ  - WURTH 74271722,
0,0, ,
8-G,039900274,BORRACHA AUTOCOLANTE PERFIL 10X5MM,
0,0, ,
8-H,011200119,CI ULN2001A,
8-H,011200014,CI AT89S8252-24PU,
8-H,011200113,CI LTV817,
8-H,011200111,CI SMD LM317MDCYR,
8-H,011200074,CI SMD 4N25S,
8-H,011200072,CI LM2576T-3.3,
8-H,011200098,CI TL431I - INVOLUCRO TO-92,
8-H,011200079,CI SMD ACS712ELCTR-30A-T,
8-H,011200130,CI TOP250YN,
8-H,011200108,CI PIC16F690-I/P,
8-H,011200142,CI UC3843 DIP8,
8-H,011200172,CI UC3844AN INVOLUCRO DIP8,
8-H,011200144,CI SMD EL3H7 OPTOISOLADOR,
8-H,011200173,CI FAN7382 INVOLUCRO DIP8,
0,0, ,
8-I,011400158,CONECTOR CIRCULAR PLUG P/ CABO RJ45 RCP-00BMMS-SLM7001 AMPHENOL,
8-I,011400098,CONECTOR MODULAR MINIATURA 06 VIAS MFPN-06 90º,
8-I,012600004,SOQUETE CI 06 PINOS,
8-I,011400185,CONECTOR XT60E-F AMASS,
8-I,011400125,PLUG ACENDEDOR DE CIGARROS COM FUSIVEL E RABICHO,
8-I,011400103,CONECTOR MODULAR JACK 8 COM ETHERNET MAGNETIC,
8-I,011400027,"CONECTOR MSTBA 2,5/2-G-5,08 - DEGSON 2EDGRC-5.08-02P-14-00A(H)",
0,0, ,
8-J,012300020, ,
8-J,011100013,DIP SWITCH 10 POSICOES DSP-10,
8-J,019900356,BUCHA ISOLANTE PARA TO220,
8-J,059900134, ,
8-J,011000160,CAP ELET 330UF 400V 105ºC 30X40MM,
8-J,011100024,CHAVE SWITCH SNAP ACT SPDT 100MA 125V - D2HW-BL231DL,
8-J,013500228,RESISTOR 0.05R 5W 5% PR03,
8-J,011100020,DIP SWITCH 10 POSICOES DS-10,
8-J,011400181,BARRAMENTO DE ATERRAMENTO 8 FUROS FIX. PARAFUSO - P/ BITOLA ATE 16MM²,
8-J,010600033, ,
8-J,019900327,DISSIPADOR DE CALOR RDD 2315-40 - REI DOS DISSIPADORES,
8-J,011300002,TRANSFORMADOR 12+12V 200.702.01,
8-J,011300000,TRANSFORMADOR DE FERRITE 185.140.01,
0,0, ,
8-K,012100018,TERMINAL KK PCT3,
8-K,013500224,RESISTOR 0R22 2W PR02,
8-K,013500225,RESISTOR 1K 3W 5%,
8-K,011600047,DIODO ZENER 1N4750 (27V),
8-K,012100035,TERMINAL TUBULAR IILHOS E1012 10MM,
8-K,011000164,CAP ALUM 470UF 20% 25V AXIAL - MAL202136471E3,
0,0, ,
0,0, ,
0,0, ,
8-L,RESISTORES, ,
0,0135 ATÉ 99, ,
0,0135 ACIMA DE 100, ,
0,0, ,
0,CAPACITORES, ,
0,0110..., ,
0,0, ,
8-S,020100040,CAMERA IP DS-2CD4A26FWD-IZS 2MP LENTE 8-32MM HIKVISION,
0,0, ,
8-T,020100040,CAMERA IP DS-2CD4A26FWD-IZS 2MP LENTE 8-32MM HIKVISION,
0,0, ,
8-U,020100040,CAMERA IP DS-2CD4A26FWD-IZS 2MP LENTE 8-32MM HIKVISION,
8-U,020100053,CAMERA IP DS-2CD4A24FWD-IZ 2MP LENTE 2.8-12MM HIKVISION,
0,0, ,
8-V,020200001,"LENTE AUTO IRIS DC 1/3"" 5,0-50MM SCV550DC F1.7 KODO",
8-V,020100014,CAMERA IP ITSCAM 401L AD + LENTE SENKO TV7X7513D,
8-V,020200010,"LENTE IR IRIS MANUAL 1/3"" 10-40MM 13VM1040ASIR TAMRON",
8-V,020200015,"LENTE IR AUTO IRIS DC 1/3"" 7,5-50MM F1.3 TV7X7513D SENKO",
0,0, ,
8-W,SEM ITENS ,SEM ITENS ,
0,0, ,
8-X,SEM ITENS ,SEM ITENS ,
9-A,SEM ITENS,SEM ITENS,
9-B,019900210,PONTA DE PROVA,
0,0, ,
9-C,,MECANISMO P/ FILTRO IR CUT ( IR CUT FILTER SWITCHING MECHANISM) FUJITA FC-8484M,
9-C,049900100,OCR - HARDKEY USB - GAUSSIAN,
9-C,040400006,PEN DRIVE USB 64 GB,
0,0, ,
9-D,013900002,TERMO CONTRACTIL 10MM,
0,0, ,
9-E,SEM ITENS,SEM ITENS,
